Figure,Claimed value,Exact count from query,Query or source,As-of date,Provenance,Definition (what is and is not included),Live in demo? (YES/NO),Attribute fill %,Approved website wording,Verified by,Date verified
Indexed intelligence records,"5 million+",,,,,"DEFINE 'record' - row / document / chunk / page. Undefined as written.",,,,,
Campaign case studies,"1,111",,,,PROPRIETARY,"Documented campaigns across sectors. State date range e.g. 1998-2026.",,,,,
Touchpoint and influencer entities,"3,88,250",,,,COUNTED,"RESOLVE: does this include the 38424 haats / 57000 kirana / 84000 chemists?",,,,,
Weekly haats mapped,"38,424",,,,,"Confirm source (govt GrAM list = REFERENCE; own fieldwork = COUNTED). Market day is a separate attribute claim.",,,,,
Census records,"6,25,538",,,,REFERENCE,"Across 5 geographic grains - name the 5.",,,,,
Villages in reference universe,"5,97,483",,,,REFERENCE,"Census-derived. NOT coverage. Never place beside owned-data counts.",,,,,
Kirana and retail outlets mapped,"57,000+",,,,COUNTED,"Physically enumerated? State method - see review section 1.1.",,,,,
Chemists mapped,"84,000+",,,,,"Likely from state drug-control licence registries = REFERENCE not COUNTED. Confirm.",,,,,
Touchpoint and influencer families,"19",,,,,"MISMATCH: Bharat Data section lists 22 types. Reconcile.",,,,,
Cost line items,"5,700+",,,,PROPRIETARY,"Across 25 states. Confirm 'invoices' vs 'invoices and estimates'.",,,,,
External signal families,"16",,,,,"Name 2-3 on the site or the number means nothing to a visitor.",,,,,
Districts with code-level geography,"765",,,,REFERENCE,"LGD code-level geography. NOT 'districts covered'.",,,,,
Years of execution intelligence,"27",,,,PROPRIETARY,"Settle founding year: 1998 (CLAUDE.md) vs 1999 (Stitch footer). One answer everywhere.",,,,,
